county,precinct,office,district,party,candidate,votes
"Walker","Precinct 101","President",,"REP","Donald J. Trump",221
"Walker","Precinct 101","President",,"DEM","Kamala D. Harris",282
"Walker","Precinct 101","President",,"LIB","Chase Oliver",2
"Walker","Precinct 101","President",,"GRN","Jill Stein",1
"Walker","Precinct 101","President",,,"Write-ins",1
"Walker","Precinct 101","U.S. Senate",,"REP","Ted Cruz",207
"Walker","Precinct 101","U.S. Senate",,"DEM","Colin Allred",282
"Walker","Precinct 101","U.S. Senate",,"LIB","Ted Brown",9
"Walker","Precinct 101","U.S. Senate",,,"Write-ins",1
"Walker","Precinct 101","U.S. House","17","REP","Pete Sessions",200
"Walker","Precinct 101","U.S. House","17","DEM","Mark Lorenzen",261
"Walker","Precinct 101","Railroad Commissioner",,"REP","Christi Craddick",207
"Walker","Precinct 101","Railroad Commissioner",,"DEM","Katherine Culbert",263
"Walker","Precinct 101","Railroad Commissioner",,"LIB","Hawk Dunlap",12
"Walker","Precinct 101","Railroad Commissioner",,"GRN","Eddie Espinoza",3
"Walker","Precinct 101","Railroad Commissioner",,,"Write-ins",1
"Walker","Precinct 101","Justice, Supreme Court, Pl 2",,"REP","Jimmy Blacklock",210
"Walker","Precinct 101","Justice, Supreme Court, Pl 2",,"DEM","DaSean Jones",277
"Walker","Precinct 101","Justice, Supreme Court, Pl 4",,"REP","John Devine",209
"Walker","Precinct 101","Justice, Supreme Court, Pl 4",,"DEM","Christine Vinh Weems",271
"Walker","Precinct 101","Justice, Supreme Court, Pl 6",,"REP","Jane Bland",209
"Walker","Precinct 101","Justice, Supreme Court, Pl 6",,"DEM","Bonnie Lee Goldstein",265
"Walker","Precinct 101","Justice, Supreme Court, Pl 6",,"LIB","J. David Roberson",10
"Walker","Precinct 101","Presiding Judge, Ct of Crim App",,"REP","David J. Schenck",211
"Walker","Precinct 101","Presiding Judge, Ct of Crim App",,"DEM","Holly Taylor",269
"Walker","Precinct 101","Judge, Ct of Crim App, Pl 7",,"REP","Gina Parker",210
"Walker","Precinct 101","Judge, Ct of Crim App, Pl 7",,"DEM","Nancy Mulder",270
"Walker","Precinct 101","Judge, Ct of Crim App, Pl 8",,"REP","Lee Finley",213
"Walker","Precinct 101","Judge, Ct of Crim App, Pl 8",,"DEM","Chika Anyiam",263
"Walker","Precinct 101","State Representative","12","REP","Trey Wharton",200
